	LocationID	CoutryID	CountryName	Description	DateTimeAdded	ID	DisplayValue
	2652	0		 ABRAHAM MOKOLA TOLL GATE	7/4/2025 1:28 PM	2652	 ABRAHAM MOKOLA TOLL GATE
	2412	7	MOZAMBIQUE	 BEIRA INHAMISUA MASODJA PARK 	8/9/2024 8:53 PM	2412	 BEIRA INHAMISUA MASODJA PARK 
	2641	1	ZAMBIA	 CHINGOLA HAULOADS YARD	6/28/2025 4:13 PM	2641	 CHINGOLA HAULOADS YARD
	1470	5	ZIMBABWE	 DUPLICATE 11	12/12/2022 9:40 AM	1470	 DUPLICATE 11
	2319	0		 HONDE 	6/9/2024 6:35 AM	2319	 HONDE 
	1425	1	ZAMBIA	 ZAMBIA	12/10/2022 10:21 AM	1425	 ZAMBIA
	1387	1	ZAMBIA	10 MILES AREA, LUSAKA	11/23/2022 10:46 AM	1387	10 MILES AREA, LUSAKA
	2377	5	ZIMBABWE	11 MILES ZIM SIDE	7/17/2024 7:20 PM	2377	11 MILES ZIM SIDE
	2100	3	BOTSWANA	120 KM TO MARTINS DRIFT 	9/11/2023 9:24 AM	2100	120 KM TO MARTINS DRIFT 
	2408	1	ZAMBIA	15 MILES AREA, CHISAMBA	8/9/2024 6:31 PM	2408	15 MILES AREA, CHISAMBA
	2425	1	ZAMBIA	20 MILES	8/17/2024 7:46 PM	2425	20 MILES
	2633	1	ZAMBIA	ABN YARD, NDOLA	6/21/2025 8:28 PM	2633	ABN YARD, NDOLA
	2649	1	ZAMBIA	ABRAM MOKOLA TOLL PLAZA	7/2/2025 6:35 PM	2649	ABRAM MOKOLA TOLL PLAZA
	2470	1	ZAMBIA	ABUS TRUCK PARK, MONZE	10/13/2024 8:29 PM	2470	ABUS TRUCK PARK, MONZE
	2455	1	ZAMBIA	ACTIVE YARD, NDOLA	9/8/2024 8:45 PM	2455	ACTIVE YARD, NDOLA
	2731	1	ZAMBIA	AFRI-ROAD YARD KITWE	10/10/2025 3:48 PM	2731	AFRI-ROAD YARD KITWE
	2296	7	MOZAMBIQUE	ALEXANDER GREY TOLL PLAZA	5/13/2024 8:08 AM	2296	ALEXANDER GREY TOLL PLAZA
	2655	5	ZIMBABWE	ALRO YARD, HARARE	7/5/2025 4:19 PM	2655	ALRO YARD, HARARE
	2428	7	MOZAMBIQUE	AMAANS YARD, LUSAKA	8/18/2024 5:57 PM	2428	AMAANS YARD, LUSAKA
	2366	1	ZAMBIA	AMAANS YARD, NDOLA	7/6/2024 6:04 PM	2366	AMAANS YARD, NDOLA
	2231	7	MOZAMBIQUE	AMATONGAS	2/4/2024 9:40 AM	2231	AMATONGAS
	2068	1	ZAMBIA	ANDREW SINKALA	7/30/2023 2:18 PM	2068	ANDREW SINKALA
	1731	9	UNKNOWN	ARCHIVED MANIFESTS	4/16/2023 1:33 PM	1731	ARCHIVED MANIFESTS
	2571	3	BOTSWANA	ARTESIA, MOSOMANE	3/16/2025 6:16 PM	2571	ARTESIA, MOSOMANE
	2463	5	ZIMBABWE	ASPINDALE TRUCK STOP, HARARE	9/23/2024 6:18 PM	2463	ASPINDALE TRUCK STOP, HARARE
	2687	0		AYOUN TRUCK PARK, LUSAKA 	8/7/2025 9:11 PM	2687	AYOUN TRUCK PARK, LUSAKA 
	1606	1	ZAMBIA	BAGAMOYO TRUCK PARK, MATUMBO	1/30/2023 11:44 AM	1606	BAGAMOYO TRUCK PARK, MATUMBO
	2520	2	TANZANIA	BAGAMOYO TZ	12/19/2024 8:57 PM	2520	BAGAMOYO TZ
	1466	1	ZAMBIA	BALUBA	12/11/2022 4:16 PM	1466	BALUBA
	2309	1	ZAMBIA	BALUBA AREA COPPER ZONE	5/25/2024 6:44 PM	2309	BALUBA AREA COPPER ZONE
	2625	1	ZAMBIA	BAMBELELA HIGHWAY TRUCK PARK, MASAITI-NDOLA	6/12/2025 7:12 PM	2625	BAMBELELA HIGHWAY TRUCK PARK, MASAITI-NDOLA
	2164	2	TANZANIA	BANANA VILLAGE	11/12/2023 10:55 AM	2164	BANANA VILLAGE
	2439	0		BANDULA	8/23/2024 8:38 AM	2439	BANDULA
	2353	5	ZIMBABWE	BANKET 	6/25/2024 7:02 PM	2353	BANKET 
	1984	5	ZIMBABWE	BANKET TOWN	6/11/2023 6:20 AM	1984	BANKET TOWN
	2424	0		BANTU	8/17/2024 6:13 PM	2424	BANTU
	1680	1	ZAMBIA	BATOKA	3/18/2023 11:50 AM	1680	BATOKA
	1998	5	ZIMBABWE	BEATRICE	6/13/2023 8:49 AM	1998	BEATRICE
	2373	1	ZAMBIA	BECLOAD YARD, LUSAKA 	7/13/2024 8:27 PM	2373	BECLOAD YARD, LUSAKA 
	2422	7	MOZAMBIQUE	BEIRA CERAMICA L.T.S PARK	8/16/2024 7:32 PM	2422	BEIRA CERAMICA L.T.S PARK
	2354	7	MOZAMBIQUE	BEIRA CHOICE DIESEL PARK	6/27/2024 7:01 PM	2354	BEIRA CHOICE DIESEL PARK
	2414	8	SOUTH AFRICA	BEIRA INHAMISUA MASODJA PARK	8/9/2024 8:54 PM	2414	BEIRA INHAMISUA MASODJA PARK
	2057	7	MOZAMBIQUE	BEIRA PORT	7/16/2023 12:12 PM	2057	BEIRA PORT
	2458	7	MOZAMBIQUE	BEIRA RELOAD LOGISTICS, BEIRA PORT	9/18/2024 10:02 PM	2458	BEIRA RELOAD LOGISTICS, BEIRA PORT
	2362	8	SOUTH AFRICA	BEITBRIDGE SOUTH AFRICAN SIDE	7/2/2024 11:04 PM	2362	BEITBRIDGE SOUTH AFRICAN SIDE
	1714	5	ZIMBABWE	BEITBRIDGE ZIM SIDE	4/10/2023 10:39 AM	1714	BEITBRIDGE ZIM SIDE
	2608	1	ZAMBIA	BHL MUTANDA YARD, SOLWEZI	5/20/2025 8:47 PM	2608	BHL MUTANDA YARD, SOLWEZI
	2124	1	ZAMBIA	BHL YARD (ZAMBIA)	10/17/2023 7:49 PM	2124	BHL YARD (ZAMBIA)
	2645	1	ZAMBIA	BHL YARD, BATOKA	6/30/2025 7:23 PM	2645	BHL YARD, BATOKA
	2628	1	ZAMBIA	BHL YARD, LIVINGSTONE	6/14/2025 6:28 PM	2628	BHL YARD, LIVINGSTONE
	2602	1	ZAMBIA	BHL YARD, LUSAKA	5/13/2025 6:38 PM	2602	BHL YARD, LUSAKA
	2601	1	ZAMBIA	BHL YARD, NDOLA	5/12/2025 3:34 PM	2601	BHL YARD, NDOLA
	2308	5	ZIMBABWE	BIATRECE	5/23/2024 2:00 PM	2308	BIATRECE
	2710	1	ZAMBIA	BLACK PANTHER YARD, NDOLA	9/5/2025 12:43 PM	2710	BLACK PANTHER YARD, NDOLA
	2637	0		BLANKET	6/26/2025 2:10 PM	2637	BLANKET
	2715	1	ZAMBIA	BLOSSOM BLUE YARD,LUSAKA	9/14/2025 7:41 PM	2715	BLOSSOM BLUE YARD,LUSAKA
	2418	1	ZAMBIA	BLUE VILLA TRUCK PARK(OPPOSITE HITCO), NDOLA	8/12/2024 8:43 PM	2418	BLUE VILLA TRUCK PARK(OPPOSITE HITCO), NDOLA
	2452	1	ZAMBIA	BLUE VILLA TRUCK PARK, NDOLA	9/5/2024 9:14 PM	2452	BLUE VILLA TRUCK PARK, NDOLA
	1753	1	ZAMBIA	BOSO	4/18/2023 1:19 PM	1753	BOSO
	1434	3	BOTSWANA	BOTSWANA	12/10/2022 10:22 AM	1434	BOTSWANA
	2047	5	ZIMBABWE	BROMLEY	7/15/2023 9:50 AM	2047	BROMLEY
	2008	5	ZIMBABWE	BUBI	6/13/2023 4:44 PM	2008	BUBI
	2705	1	ZAMBIA	BUDGET LOGISTICS YARD, KITWE	8/25/2025 7:06 PM	2705	BUDGET LOGISTICS YARD, KITWE
	2341	5	ZIMBABWE	BUFALO TRUCK STOP, RUSAPE	6/20/2024 7:54 PM	2341	BUFALO TRUCK STOP, RUSAPE
	1968	2	TANZANIA	BUGURUNI	5/17/2023 4:33 PM	1968	BUGURUNI
	2690	5	ZIMBABWE	BULAWAYO	8/11/2025 3:00 PM	2690	BULAWAYO
	1973	1	ZAMBIA	BWANA SAMAKI	5/29/2023 12:55 PM	1973	BWANA SAMAKI
	1547	2	TANZANIA	BWAWANI	1/3/2023 10:36 AM	1547	BWAWANI
	2589	1	ZAMBIA	CALIBER YARD LUSAKA	5/2/2025 1:28 PM	2589	CALIBER YARD LUSAKA
	2590	1	ZAMBIA	CALIBER YARD NDOLA	5/2/2025 1:29 PM	2590	CALIBER YARD NDOLA
	2372	1	ZAMBIA	CAPITAL FISHERIES, LUSAKA 	7/13/2024 6:18 PM	2372	CAPITAL FISHERIES, LUSAKA 
	2727	1	ZAMBIA	CARGOTIS YARD, LUSAKA	10/2/2025 1:07 AM	2727	CARGOTIS YARD, LUSAKA
	2386	1	ZAMBIA	CARIBBEAN YARD, LUSAKA	7/23/2024 6:02 PM	2386	CARIBBEAN YARD, LUSAKA
	2264	1	ZAMBIA	CARIBBEAN YARD, NDOLA	3/28/2024 2:52 PM	2264	CARIBBEAN YARD, NDOLA
	2483	7	MOZAMBIQUE	CASSACATIZA BORDER	10/22/2024 6:05 PM	2483	CASSACATIZA BORDER
	2158	7	MOZAMBIQUE	CASSACATIZA PATHWAY	11/11/2023 12:59 PM	2158	CASSACATIZA PATHWAY
	2179	7	MOZAMBIQUE	CATANDICA	11/23/2023 8:03 AM	2179	CATANDICA
	2331	7	MOZAMBIQUE	CATONGOLENE	6/15/2024 12:10 PM	2331	CATONGOLENE
	2546	1	ZAMBIA	CENTER STAR YARD, NDOLA	1/20/2025 8:12 PM	2546	CENTER STAR YARD, NDOLA
	2346	7	MOZAMBIQUE	CERÂMICA, BEIRA	6/22/2024 6:32 AM	2346	CERÂMICA, BEIRA
	2249	7	MOZAMBIQUE	CERÂMICA, BEIRA PORT	3/11/2024 8:40 PM	2249	CERÂMICA, BEIRA PORT
	2741	9	UNKNOWN	CH-1211 GENEVA	10/26/2025 9:22 PM	2741	CH-1211 GENEVA
	2107	5	ZIMBABWE	CHAKA GROWTH POINT	9/21/2023 5:20 PM	2107	CHAKA GROWTH POINT
	2721	1	ZAMBIA	CHAKWANA TRUCK PARK, CHOMA	9/24/2025 7:43 PM	2721	CHAKWANA TRUCK PARK, CHOMA
	1579	1	ZAMBIA	CHALATA	1/22/2023 10:28 AM	1579	CHALATA
	1488	2	TANZANIA	CHALINZE	12/13/2022 8:57 PM	1488	CHALINZE
	2445	0		CHALOSHI	8/27/2024 7:43 PM	2445	CHALOSHI
	2082	2	TANZANIA	CHAMAKWEZA	8/15/2023 7:25 AM	2082	CHAMAKWEZA
	1539	1	ZAMBIA	CHAMBISHI	12/31/2022 3:05 PM	1539	CHAMBISHI
	2274	1	ZAMBIA	CHAMBISHI CCS 	4/17/2024 12:40 PM	2274	CHAMBISHI CCS 
	2419	1	ZAMBIA	CHAMBISHI ZCCZ	8/13/2024 7:44 AM	2419	CHAMBISHI ZCCZ
	2564	1	ZAMBIA	CHAMBOLI COUMPOUND, KITWE	3/3/2025 6:28 PM	2564	CHAMBOLI COUMPOUND, KITWE
	2173	7	MOZAMBIQUE	CHANGARA	11/16/2023 11:59 AM	2173	CHANGARA
	2314	7	MOZAMBIQUE	CHANGERA	6/5/2024 10:45 AM	2314	CHANGERA
	2150	1	ZAMBIA	CHANIDA BORDER POST	11/6/2023 11:08 PM	2150	CHANIDA BORDER POST
